store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),uptime_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
3705544321541308930,0,3,27,60,12,88
1012919347352044037,60,16,109,0,0,0
8366194103798759948,60,17,122,0,0,0
3497331608467636756,60,11,50,0,0,23
2326355314033164823,60,8,71,0,0,0
3449092834072330775,60,16,112,0,0,0
9021464605603955225,60,23,167,0,0,0
229756281923043870,60,14,101,0,0,0
3805300659070468640,60,9,73,0,0,0
3393753704630223393,60,11,101,0,0,1
6991267735937352223,0,0,12,60,12,72
326856182599942694,0,5,15,60,18,71
8001620187347976743,60,22,159,0,0,0
9081374451713933867,60,12,87,0,0,0
904008599042261551,60,10,88,0,0,0
8603200247485727276,60,9,63,0,0,0
4455435667938083375,60,14,98,0,0,0
783406358954312241,0,0,12,60,12,72
758519570375246396,60,12,86,0,0,0
81559780630790716,60,7,12,0,0,42
7165632378607960635,60,17,125,0,0,0
5798107024271966785,60,23,167,0,0,0
435051855806923332,60,10,88,0,0,0
6422315512493867587,60,9,92,0,0,0
5616303561558360649,60,20,146,0,0,0
4972454081638597196,60,17,118,0,0,7
4764286641758372430,0,0,0,60,12,84
6018065859289285202,0,0,13,60,13,78
4804353389514556006,60,23,144,0,0,0
8750744863323423335,60,11,79,0,0,0
148795032015503980,0,2,7,60,12,95
3788279605517320820,0,10,24,60,13,143
1995940797507699317,60,23,167,0,0,0
4275932008405369462,60,17,125,0,0,0
5924423145343943286,60,17,98,0,0,17
8672765986402566776,0,0,6,60,6,36
8412559044081517183,60,7,55,0,0,0
8283818049297351299,0,0,12,60,12,72
4071500638080696966,60,7,50,0,0,0
7738490685705749128,0,0,0,60,7,62
1249893311664358027,60,12,85,0,0,0
561562924423938703,60,8,57,0,0,0
7973756334934885008,0,0,12,60,12,72
2739250325777580694,60,23,44,0,0,100
7830218091412521629,60,12,85,0,0,0
1142217956989272744,0,0,0,60,9,43
7509740124230812327,60,23,167,0,0,0
8138064345069257385,60,23,167,0,0,0
1871890123309417137,60,9,92,0,0,0
1389947929028395698,60,10,21,0,0,36
1168158950802293436,60,10,76,0,0,0
4775082116809032380,60,17,125,0,0,0
5148694224669442750,60,8,9,0,0,65
1085824308941718209,60,23,59,0,0,13
1358738116955407053,60,23,108,0,0,0
137489854657495758,60,9,79,0,0,0
9191924088090002123,60,23,80,0,0,0
7872450129102144204,0,0,11,60,11,66
6478723424115065548,60,12,110,0,0,0
2325429371653718737,60,9,76,0,0,0
6003577592509498065,60,15,105,0,0,0
2801161018595246803,60,23,167,0,0,0
6447334345695462104,60,9,108,0,0,2
6776660075252450013,60,19,133,0,0,0
2536136790371762910,60,12,98,0,0,0
2594115075249930979,60,13,21,0,0,46
3712730232711578342,60,23,87,0,0,0
2222326639959999208,60,23,84,0,0,0
4921552949314388712,60,12,54,0,0,15
2659535035040072426,60,11,80,0,0,0
1427332776357855986,60,10,91,0,0,0
6923836608548045554,60,6,13,0,0,34
6672691392384860916,60,15,108,0,0,0
7705373018137625332,0,5,18,60,12,107
5770226286133838585,60,8,67,0,0,0
9149712285921772285,60,13,97,0,0,0
5952909218916532992,60,15,105,0,0,0
592564541849666308,60,9,81,0,0,0
5245124405201535747,0,5,32,60,18,63
6627403247980937988,60,8,42,0,0,13
3805850625064764163,60,23,86,0,0,0
4758122953777087240,60,4,18,0,0,33
3143660658783978251,60,16,106,0,0,5
7105727956101333772,60,23,70,0,0,0
3578719441486807824,60,10,70,0,0,0
7033610846661247760,60,19,133,0,0,0
7633697021858808601,60,18,137,0,0,0
6588419047189873436,60,17,130,0,0,0
9194440305516118811,0,0,11,60,11,69
5984095994339754784,60,14,49,0,0,48
1077279434450600740,0,0,11,60,9,65
8055889684389987107,60,9,68,0,0,0
4743255264227164964,0,0,12,60,12,72
8177295030995911464,60,6,62,0,0,0
7110737882995852087,60,23,106,0,0,61
1471734840230642496,60,16,109,0,0,14
5339221772537987908,60,15,99,0,0,0
2749541942859236169,60,13,97,0,0,0
2281235811578479437,60,23,93,0,0,0
8139746930900009809,60,8,67,0,0,0
8841107590159958865,60,10,70,0,0,0
4567318054382371668,60,10,73,0,0,0
6673695798761653077,60,8,56,0,0,0
2540019068037759837,0,0,12,60,12,72
8461613091533095774,60,12,89,0,0,0
2249493758548607842,60,12,86,0,0,0
6326969040294904674,60,16,117,0,0,0
5980850037745517411,60,20,146,0,0,0
189887911053525869,0,3,27,60,12,88
1950213906354406253,60,10,88,0,0,0
6981065511606584176,60,10,73,0,0,0
2053206129811489660,60,8,37,0,0,9
372006500694852480,0,0,10,60,8,59
4710951354228966271,60,12,97,0,5,28
862682288742826882,0,0,5,60,5,36
8330214993571251073,0,0,0,60,9,63
4708329725210919824,60,23,167,0,0,0
494668949189624724,60,13,91,0,0,0
645700412112339860,60,11,28,0,0,56
3440150023152763801,60,9,92,0,0,0
8445137346113012632,0,2,2,60,3,39
2491761154881684379,0,5,14,60,18,66
6071184813008487323,0,0,8,60,4,48
8956479198572544923,60,23,167,0,0,0
6937287792105882525,60,11,77,0,0,0
339216504037933986,0,0,0,60,12,84
625693576506770342,60,11,77,0,0,0
8224150953804333994,60,9,92,0,0,0
3588337980198945708,60,6,15,0,0,56
5893287168855180205,60,16,115,0,0,0
6743317667349595060,60,9,68,0,0,0
7730229831636583350,60,16,117,0,0,0
5400449062227182519,60,23,167,0,0,0
2583143055026783161,60,23,164,0,0,2
5630432795445298111,60,8,47,0,0,0
